========================================================
Contrast_x,y,z=100  25  4
Get kvals from python.
2.62144e+07  6.5536e+06  1.04858e+06  1.04858e+06  1.04858e+06  2621.44  26214.4  262144  262144  262144  2621.44  655.36  104.858  104.858  262144  
Use the following reference parameters:
2621.44  655.36  104.858  104.858  262144  
GPU solver with FCT preconditioner.
  itrIdx=1,	residual=8.094417e+07,	 rhs=3.736463e+08, relative=2.166331e-01.
  itrIdx=2,	residual=2.161041e+07,	 rhs=3.736463e+08, relative=5.783655e-02.
  itrIdx=3,	residual=1.316123e+07,	 rhs=3.736463e+08, relative=3.522376e-02.
  itrIdx=4,	residual=8.665525e+06,	 rhs=3.736463e+08, relative=2.319178e-02.
  itrIdx=5,	residual=1.514253e+07,	 rhs=3.736463e+08, relative=4.052636e-02.
  itrIdx=6,	residual=3.600843e+06,	 rhs=3.736463e+08, relative=9.637035e-03.
  itrIdx=7,	residual=4.991863e+06,	 rhs=3.736463e+08, relative=1.335986e-02.
  itrIdx=8,	residual=4.475761e+06,	 rhs=3.736463e+08, relative=1.197860e-02.
  itrIdx=9,	residual=2.551787e+06,	 rhs=3.736463e+08, relative=6.829417e-03.
  itrIdx=10,	residual=2.366110e+06,	 rhs=3.736463e+08, relative=6.332486e-03.
  itrIdx=11,	residual=1.317057e+06,	 rhs=3.736463e+08, relative=3.524875e-03.
  itrIdx=12,	residual=9.506726e+05,	 rhs=3.736463e+08, relative=2.544311e-03.
  itrIdx=13,	residual=7.972776e+05,	 rhs=3.736463e+08, relative=2.133776e-03.
  itrIdx=14,	residual=6.535110e+05,	 rhs=3.736463e+08, relative=1.749010e-03.
  itrIdx=15,	residual=8.046780e+05,	 rhs=3.736463e+08, relative=2.153582e-03.
  itrIdx=16,	residual=5.865869e+05,	 rhs=3.736463e+08, relative=1.569899e-03.
  itrIdx=17,	residual=6.616622e+05,	 rhs=3.736463e+08, relative=1.770825e-03.
  itrIdx=18,	residual=6.684760e+05,	 rhs=3.736463e+08, relative=1.789061e-03.
  itrIdx=19,	residual=5.385151e+05,	 rhs=3.736463e+08, relative=1.441243e-03.
  itrIdx=20,	residual=4.431538e+05,	 rhs=3.736463e+08, relative=1.186025e-03.
  itrIdx=21,	residual=4.240470e+05,	 rhs=3.736463e+08, relative=1.134889e-03.
  itrIdx=22,	residual=4.247117e+05,	 rhs=3.736463e+08, relative=1.136668e-03.
  itrIdx=23,	residual=4.181298e+05,	 rhs=3.736463e+08, relative=1.119052e-03.
  itrIdx=24,	residual=4.623420e+05,	 rhs=3.736463e+08, relative=1.237379e-03.
  itrIdx=25,	residual=4.122765e+05,	 rhs=3.736463e+08, relative=1.103387e-03.
  itrIdx=26,	residual=3.742699e+05,	 rhs=3.736463e+08, relative=1.001669e-03.
  itrIdx=27,	residual=3.889246e+05,	 rhs=3.736463e+08, relative=1.040890e-03.
  itrIdx=28,	residual=4.292145e+05,	 rhs=3.736463e+08, relative=1.148719e-03.
  itrIdx=29,	residual=3.891060e+05,	 rhs=3.736463e+08, relative=1.041375e-03.
  itrIdx=30,	residual=3.699040e+05,	 rhs=3.736463e+08, relative=9.899843e-04.
  itrIdx=31,	residual=3.615164e+05,	 rhs=3.736463e+08, relative=9.675364e-04.
  itrIdx=32,	residual=3.897731e+05,	 rhs=3.736463e+08, relative=1.043161e-03.
  itrIdx=33,	residual=3.490052e+05,	 rhs=3.736463e+08, relative=9.340524e-04.
  itrIdx=34,	residual=3.408771e+05,	 rhs=3.736463e+08, relative=9.122988e-04.
  itrIdx=35,	residual=3.460548e+05,	 rhs=3.736463e+08, relative=9.261561e-04.
  itrIdx=36,	residual=3.323249e+05,	 rhs=3.736463e+08, relative=8.894102e-04.
  itrIdx=37,	residual=3.229685e+05,	 rhs=3.736463e+08, relative=8.643696e-04.
  itrIdx=38,	residual=3.377253e+05,	 rhs=3.736463e+08, relative=9.038636e-04.
  itrIdx=39,	residual=3.472702e+05,	 rhs=3.736463e+08, relative=9.294088e-04.
  itrIdx=40,	residual=3.301787e+05,	 rhs=3.736463e+08, relative=8.836663e-04.
  itrIdx=41,	residual=3.009228e+05,	 rhs=3.736463e+08, relative=8.053679e-04.
  itrIdx=42,	residual=3.211057e+05,	 rhs=3.736463e+08, relative=8.593840e-04.
  itrIdx=43,	residual=3.123674e+05,	 rhs=3.736463e+08, relative=8.359974e-04.
  itrIdx=44,	residual=2.930516e+05,	 rhs=3.736463e+08, relative=7.843020e-04.
  itrIdx=45,	residual=3.043675e+05,	 rhs=3.736463e+08, relative=8.145872e-04.
  itrIdx=46,	residual=3.458540e+05,	 rhs=3.736463e+08, relative=9.256185e-04.
  itrIdx=47,	residual=2.890046e+05,	 rhs=3.736463e+08, relative=7.734709e-04.
  itrIdx=48,	residual=2.650065e+05,	 rhs=3.736463e+08, relative=7.092443e-04.
  itrIdx=49,	residual=3.031974e+05,	 rhs=3.736463e+08, relative=8.114556e-04.
  itrIdx=50,	residual=2.610644e+05,	 rhs=3.736463e+08, relative=6.986938e-04.
  itrIdx=51,	residual=2.699292e+05,	 rhs=3.736463e+08, relative=7.224190e-04.
  itrIdx=52,	residual=3.042987e+05,	 rhs=3.736463e+08, relative=8.144030e-04.
  itrIdx=53,	residual=2.311749e+05,	 rhs=3.736463e+08, relative=6.186997e-04.
  itrIdx=54,	residual=2.590447e+05,	 rhs=3.736463e+08, relative=6.932885e-04.
  itrIdx=55,	residual=2.589967e+05,	 rhs=3.736463e+08, relative=6.931601e-04.
  itrIdx=56,	residual=2.177471e+05,	 rhs=3.736463e+08, relative=5.827627e-04.
  itrIdx=57,	residual=3.142191e+05,	 rhs=3.736463e+08, relative=8.409532e-04.
  itrIdx=58,	residual=2.214958e+05,	 rhs=3.736463e+08, relative=5.927953e-04.
  itrIdx=59,	residual=2.489823e+05,	 rhs=3.736463e+08, relative=6.663581e-04.
  itrIdx=60,	residual=2.201352e+05,	 rhs=3.736463e+08, relative=5.891538e-04.
  itrIdx=61,	residual=2.726633e+05,	 rhs=3.736463e+08, relative=7.297362e-04.
  itrIdx=62,	residual=2.152104e+05,	 rhs=3.736463e+08, relative=5.759734e-04.
  itrIdx=63,	residual=2.800609e+05,	 rhs=3.736463e+08, relative=7.495348e-04.
  itrIdx=64,	residual=2.183624e+05,	 rhs=3.736463e+08, relative=5.844093e-04.
  itrIdx=65,	residual=3.493387e+05,	 rhs=3.736463e+08, relative=9.349447e-04.
  itrIdx=66,	residual=2.153296e+05,	 rhs=3.736463e+08, relative=5.762925e-04.
  itrIdx=67,	residual=2.515518e+05,	 rhs=3.736463e+08, relative=6.732349e-04.
  itrIdx=68,	residual=2.475009e+05,	 rhs=3.736463e+08, relative=6.623934e-04.
  itrIdx=69,	residual=2.472741e+05,	 rhs=3.736463e+08, relative=6.617865e-04.
  itrIdx=70,	residual=2.256369e+05,	 rhs=3.736463e+08, relative=6.038783e-04.
  itrIdx=71,	residual=2.309847e+05,	 rhs=3.736463e+08, relative=6.181906e-04.
  itrIdx=72,	residual=2.468308e+05,	 rhs=3.736463e+08, relative=6.605999e-04.
  itrIdx=73,	residual=2.327113e+05,	 rhs=3.736463e+08, relative=6.228118e-04.
  itrIdx=74,	residual=2.460410e+05,	 rhs=3.736463e+08, relative=6.584864e-04.
  itrIdx=75,	residual=2.183668e+05,	 rhs=3.736463e+08, relative=5.844211e-04.
  itrIdx=76,	residual=2.301347e+05,	 rhs=3.736463e+08, relative=6.159158e-04.
  itrIdx=77,	residual=2.174646e+05,	 rhs=3.736463e+08, relative=5.820066e-04.
  itrIdx=78,	residual=2.213657e+05,	 rhs=3.736463e+08, relative=5.924470e-04.
  itrIdx=79,	residual=2.156082e+05,	 rhs=3.736463e+08, relative=5.770381e-04.
  itrIdx=80,	residual=2.259989e+05,	 rhs=3.736463e+08, relative=6.048472e-04.
  itrIdx=81,	residual=2.085094e+05,	 rhs=3.736463e+08, relative=5.580394e-04.
  itrIdx=82,	residual=2.130640e+05,	 rhs=3.736463e+08, relative=5.702291e-04.
  itrIdx=83,	residual=2.104246e+05,	 rhs=3.736463e+08, relative=5.631650e-04.
  itrIdx=84,	residual=2.074416e+05,	 rhs=3.736463e+08, relative=5.551815e-04.
  itrIdx=85,	residual=2.103971e+05,	 rhs=3.736463e+08, relative=5.630914e-04.
  itrIdx=86,	residual=2.117967e+05,	 rhs=3.736463e+08, relative=5.668373e-04.
  itrIdx=87,	residual=2.039813e+05,	 rhs=3.736463e+08, relative=5.459209e-04.
  itrIdx=88,	residual=1.995435e+05,	 rhs=3.736463e+08, relative=5.340437e-04.
  itrIdx=89,	residual=2.292112e+05,	 rhs=3.736463e+08, relative=6.134444e-04.
  itrIdx=90,	residual=1.790900e+05,	 rhs=3.736463e+08, relative=4.793034e-04.
  itrIdx=91,	residual=2.000196e+05,	 rhs=3.736463e+08, relative=5.353179e-04.
  itrIdx=92,	residual=2.033408e+05,	 rhs=3.736463e+08, relative=5.442066e-04.
  itrIdx=93,	residual=1.542847e+05,	 rhs=3.736463e+08, relative=4.129165e-04.
  itrIdx=94,	residual=1.381178e+05,	 rhs=3.736463e+08, relative=3.696484e-04.
  itrIdx=95,	residual=1.524922e+05,	 rhs=3.736463e+08, relative=4.081190e-04.
  itrIdx=96,	residual=1.525336e+05,	 rhs=3.736463e+08, relative=4.082299e-04.
  itrIdx=97,	residual=1.033981e+05,	 rhs=3.736463e+08, relative=2.767273e-04.
  itrIdx=98,	residual=1.505312e+05,	 rhs=3.736463e+08, relative=4.028707e-04.
  itrIdx=99,	residual=8.900122e+04,	 rhs=3.736463e+08, relative=2.381964e-04.
  itrIdx=100,	residual=1.034149e+05,	 rhs=3.736463e+08, relative=2.767723e-04.
  itrIdx=101,	residual=8.352530e+04,	 rhs=3.736463e+08, relative=2.235411e-04.
  itrIdx=102,	residual=6.599557e+04,	 rhs=3.736463e+08, relative=1.766258e-04.
  itrIdx=103,	residual=5.882926e+04,	 rhs=3.736463e+08, relative=1.574464e-04.
  itrIdx=104,	residual=8.321956e+04,	 rhs=3.736463e+08, relative=2.227228e-04.
  itrIdx=105,	residual=5.466313e+04,	 rhs=3.736463e+08, relative=1.462965e-04.
  itrIdx=106,	residual=3.871545e+04,	 rhs=3.736463e+08, relative=1.036152e-04.
