========================================================
Contrast_x,y,z=4  25  100
Get kvals from python.
1.04858e+06  6.5536e+06  2.62144e+07  2.62144e+07  2.62144e+07  2621.44  26214.4  262144  262144  262144  2621.44  16384  65536  65536  262144  
Use the following reference parameters:
2621.44  16384  65536  65536  262144  
GPU solver with FCT preconditioner.
  itrIdx=1,	residual=7.277438e+08,	 rhs=6.715918e+09, relative=1.083610e-01.
  itrIdx=2,	residual=4.893544e+08,	 rhs=6.715918e+09, relative=7.286486e-02.
  itrIdx=3,	residual=5.033709e+08,	 rhs=6.715918e+09, relative=7.495191e-02.
  itrIdx=4,	residual=5.152456e+08,	 rhs=6.715918e+09, relative=7.672006e-02.
  itrIdx=5,	residual=2.975053e+08,	 rhs=6.715918e+09, relative=4.429854e-02.
  itrIdx=6,	residual=4.208937e+08,	 rhs=6.715918e+09, relative=6.267106e-02.
  itrIdx=7,	residual=2.972340e+08,	 rhs=6.715918e+09, relative=4.425814e-02.
  itrIdx=8,	residual=2.674105e+08,	 rhs=6.715918e+09, relative=3.981741e-02.
  itrIdx=9,	residual=1.779938e+08,	 rhs=6.715918e+09, relative=2.650328e-02.
  itrIdx=10,	residual=1.655389e+08,	 rhs=6.715918e+09, relative=2.464875e-02.
  itrIdx=11,	residual=1.499892e+08,	 rhs=6.715918e+09, relative=2.233339e-02.
  itrIdx=12,	residual=7.366183e+07,	 rhs=6.715918e+09, relative=1.096825e-02.
  itrIdx=13,	residual=7.170965e+07,	 rhs=6.715918e+09, relative=1.067756e-02.
  itrIdx=14,	residual=5.359073e+07,	 rhs=6.715918e+09, relative=7.979659e-03.
  itrIdx=15,	residual=5.288214e+07,	 rhs=6.715918e+09, relative=7.874149e-03.
  itrIdx=16,	residual=2.942905e+07,	 rhs=6.715918e+09, relative=4.381984e-03.
  itrIdx=17,	residual=2.852373e+07,	 rhs=6.715918e+09, relative=4.247182e-03.
  itrIdx=18,	residual=2.471854e+07,	 rhs=6.715918e+09, relative=3.680590e-03.
  itrIdx=19,	residual=1.978403e+07,	 rhs=6.715918e+09, relative=2.945841e-03.
  itrIdx=20,	residual=1.371835e+07,	 rhs=6.715918e+09, relative=2.042661e-03.
  itrIdx=21,	residual=1.524561e+07,	 rhs=6.715918e+09, relative=2.270071e-03.
  itrIdx=22,	residual=1.140763e+07,	 rhs=6.715918e+09, relative=1.698596e-03.
  itrIdx=23,	residual=1.125944e+07,	 rhs=6.715918e+09, relative=1.676530e-03.
  itrIdx=24,	residual=6.212159e+06,	 rhs=6.715918e+09, relative=9.249903e-04.
  itrIdx=25,	residual=6.261887e+06,	 rhs=6.715918e+09, relative=9.323948e-04.
  itrIdx=26,	residual=4.794083e+06,	 rhs=6.715918e+09, relative=7.138389e-04.
  itrIdx=27,	residual=4.335902e+06,	 rhs=6.715918e+09, relative=6.456158e-04.
  itrIdx=28,	residual=3.159739e+06,	 rhs=6.715918e+09, relative=4.704851e-04.
  itrIdx=29,	residual=2.499081e+06,	 rhs=6.715918e+09, relative=3.721132e-04.
  itrIdx=30,	residual=3.016282e+06,	 rhs=6.715918e+09, relative=4.491244e-04.
  itrIdx=31,	residual=2.057273e+06,	 rhs=6.715918e+09, relative=3.063279e-04.
  itrIdx=32,	residual=2.862149e+06,	 rhs=6.715918e+09, relative=4.261739e-04.
  itrIdx=33,	residual=2.156479e+06,	 rhs=6.715918e+09, relative=3.210997e-04.
  itrIdx=34,	residual=2.291599e+06,	 rhs=6.715918e+09, relative=3.412190e-04.
  itrIdx=35,	residual=1.626568e+06,	 rhs=6.715918e+09, relative=2.421960e-04.
  itrIdx=36,	residual=1.763056e+06,	 rhs=6.715918e+09, relative=2.625190e-04.
  itrIdx=37,	residual=1.388247e+06,	 rhs=6.715918e+09, relative=2.067099e-04.
  itrIdx=38,	residual=8.427895e+05,	 rhs=6.715918e+09, relative=1.254913e-04.
  itrIdx=39,	residual=9.659156e+05,	 rhs=6.715918e+09, relative=1.438248e-04.
  itrIdx=40,	residual=6.413734e+05,	 rhs=6.715918e+09, relative=9.550049e-05.
  itrIdx=41,	residual=5.709824e+05,	 rhs=6.715918e+09, relative=8.501926e-05.
  itrIdx=42,	residual=3.656589e+05,	 rhs=6.715918e+09, relative=5.444661e-05.
  itrIdx=43,	residual=5.037563e+05,	 rhs=6.715918e+09, relative=7.500930e-05.
  itrIdx=44,	residual=4.088534e+05,	 rhs=6.715918e+09, relative=6.087827e-05.
  itrIdx=45,	residual=3.774152e+05,	 rhs=6.715918e+09, relative=5.619712e-05.
  itrIdx=46,	residual=3.406231e+05,	 rhs=6.715918e+09, relative=5.071877e-05.
  itrIdx=47,	residual=3.525158e+05,	 rhs=6.715918e+09, relative=5.248959e-05.
  itrIdx=48,	residual=2.578198e+05,	 rhs=6.715918e+09, relative=3.838936e-05.
  itrIdx=49,	residual=2.538587e+05,	 rhs=6.715918e+09, relative=3.779956e-05.
  itrIdx=50,	residual=2.063582e+05,	 rhs=6.715918e+09, relative=3.072673e-05.
  itrIdx=51,	residual=2.019753e+05,	 rhs=6.715918e+09, relative=3.007412e-05.
  itrIdx=52,	residual=1.380423e+05,	 rhs=6.715918e+09, relative=2.055449e-05.
  itrIdx=53,	residual=1.295396e+05,	 rhs=6.715918e+09, relative=1.928844e-05.
  itrIdx=54,	residual=1.127575e+05,	 rhs=6.715918e+09, relative=1.678959e-05.
  itrIdx=55,	residual=1.115574e+05,	 rhs=6.715918e+09, relative=1.661090e-05.
  itrIdx=56,	residual=1.108246e+05,	 rhs=6.715918e+09, relative=1.650178e-05.
Reach rtol=1.000000e-05, the solver exits with residual=6.248085e+04 and iterations=57.
  homoCoeffZ=7.40931
========================================================
Contrast_x,y,z=8  125  1000
Get kvals from python.
2.09715e+06  3.2768e+07  2.62144e+08  2.62144e+08  2.62144e+08  2621.44  26214.4  262144  262144  262144  1677.72  26214.4  209715  209715  262144  
Use the following reference parameters:
1677.72  26214.4  209715  209715  262144  
GPU solver with FCT preconditioner.
  itrIdx=1,	residual=4.764529e+09,	 rhs=6.710937e+10, relative=7.099649e-02.
  itrIdx=2,	residual=3.078325e+09,	 rhs=6.710937e+10, relative=4.587027e-02.
  itrIdx=3,	residual=1.943135e+09,	 rhs=6.710937e+10, relative=2.895474e-02.
  itrIdx=4,	residual=1.983633e+09,	 rhs=6.710937e+10, relative=2.955822e-02.
  itrIdx=5,	residual=1.049095e+09,	 rhs=6.710937e+10, relative=1.563261e-02.
  itrIdx=6,	residual=6.944013e+08,	 rhs=6.710937e+10, relative=1.034731e-02.
  itrIdx=7,	residual=9.735393e+08,	 rhs=6.710937e+10, relative=1.450676e-02.
  itrIdx=8,	residual=6.260222e+08,	 rhs=6.710937e+10, relative=9.328387e-03.
  itrIdx=9,	residual=5.545449e+08,	 rhs=6.710937e+10, relative=8.263301e-03.
  itrIdx=10,	residual=8.475333e+08,	 rhs=6.710937e+10, relative=1.262914e-02.
  itrIdx=11,	residual=5.997330e+08,	 rhs=6.710937e+10, relative=8.936651e-03.
  itrIdx=12,	residual=4.909203e+08,	 rhs=6.710937e+10, relative=7.315227e-03.
  itrIdx=13,	residual=6.681660e+08,	 rhs=6.710937e+10, relative=9.956375e-03.
  itrIdx=14,	residual=5.789500e+08,	 rhs=6.710937e+10, relative=8.626962e-03.
  itrIdx=15,	residual=6.378982e+08,	 rhs=6.710937e+10, relative=9.505353e-03.
  itrIdx=16,	residual=5.533205e+08,	 rhs=6.710937e+10, relative=8.245056e-03.
  itrIdx=17,	residual=5.797925e+08,	 rhs=6.710937e+10, relative=8.639516e-03.
  itrIdx=18,	residual=7.385250e+08,	 rhs=6.710937e+10, relative=1.100480e-02.
  itrIdx=19,	residual=4.508718e+08,	 rhs=6.710937e+10, relative=6.718464e-03.
  itrIdx=20,	residual=5.112606e+08,	 rhs=6.710937e+10, relative=7.618320e-03.
  itrIdx=21,	residual=8.121298e+08,	 rhs=6.710937e+10, relative=1.210159e-02.
  itrIdx=22,	residual=5.253734e+08,	 rhs=6.710937e+10, relative=7.828615e-03.
  itrIdx=23,	residual=4.885507e+08,	 rhs=6.710937e+10, relative=7.279918e-03.
  itrIdx=24,	residual=5.389768e+08,	 rhs=6.710937e+10, relative=8.031320e-03.
  itrIdx=25,	residual=4.799698e+08,	 rhs=6.710937e+10, relative=7.152054e-03.
  itrIdx=26,	residual=5.142307e+08,	 rhs=6.710937e+10, relative=7.662578e-03.
  itrIdx=27,	residual=3.573402e+08,	 rhs=6.710937e+10, relative=5.324743e-03.
  itrIdx=28,	residual=4.200061e+08,	 rhs=6.710937e+10, relative=6.258531e-03.
  itrIdx=29,	residual=4.875567e+08,	 rhs=6.710937e+10, relative=7.265107e-03.
  itrIdx=30,	residual=2.461599e+08,	 rhs=6.710937e+10, relative=3.668041e-03.
  itrIdx=31,	residual=3.155012e+08,	 rhs=6.710937e+10, relative=4.701299e-03.
  itrIdx=32,	residual=3.402641e+08,	 rhs=6.710937e+10, relative=5.070292e-03.
  itrIdx=33,	residual=2.069974e+08,	 rhs=6.710937e+10, relative=3.084479e-03.
  itrIdx=34,	residual=2.203518e+08,	 rhs=6.710937e+10, relative=3.283472e-03.
  itrIdx=35,	residual=1.826513e+08,	 rhs=6.710937e+10, relative=2.721696e-03.
  itrIdx=36,	residual=1.805179e+08,	 rhs=6.710937e+10, relative=2.689906e-03.
  itrIdx=37,	residual=1.577815e+08,	 rhs=6.710937e+10, relative=2.351110e-03.
  itrIdx=38,	residual=1.100296e+08,	 rhs=6.710937e+10, relative=1.639557e-03.
