========================================================
Contrast_x,y,z=100  25  4
Get kvals from python.
2.62144e+07  6.5536e+06  1.04858e+06  1.04858e+06  1.04858e+06  2621.44  26214.4  262144  262144  262144  2621.44  655.36  104.858  104.858  262144  
  Use all 1.0.
Use the following reference parameters:
262144  262144  262144  262144  262144  
GPU solver with FCT preconditioner.
  itrIdx=1,	residual=2.380669e+08,	 rhs=3.736463e+08, relative=6.371451e-01.
  itrIdx=2,	residual=3.479038e+08,	 rhs=3.736463e+08, relative=9.311046e-01.
  itrIdx=3,	residual=4.465523e+08,	 rhs=3.736463e+08, relative=1.195120e+00.
  itrIdx=4,	residual=1.343668e+08,	 rhs=3.736463e+08, relative=3.596097e-01.
  itrIdx=5,	residual=1.128380e+08,	 rhs=3.736463e+08, relative=3.019914e-01.
  itrIdx=6,	residual=5.770719e+07,	 rhs=3.736463e+08, relative=1.544433e-01.
  itrIdx=7,	residual=1.019970e+08,	 rhs=3.736463e+08, relative=2.729773e-01.
  itrIdx=8,	residual=6.543389e+07,	 rhs=3.736463e+08, relative=1.751225e-01.
  itrIdx=9,	residual=3.766231e+07,	 rhs=3.736463e+08, relative=1.007967e-01.
  itrIdx=10,	residual=1.389350e+07,	 rhs=3.736463e+08, relative=3.718357e-02.
  itrIdx=11,	residual=1.394892e+07,	 rhs=3.736463e+08, relative=3.733189e-02.
  itrIdx=12,	residual=1.420510e+07,	 rhs=3.736463e+08, relative=3.801751e-02.
  itrIdx=13,	residual=1.079975e+07,	 rhs=3.736463e+08, relative=2.890366e-02.
  itrIdx=14,	residual=7.217216e+06,	 rhs=3.736463e+08, relative=1.931563e-02.
  itrIdx=15,	residual=6.389093e+06,	 rhs=3.736463e+08, relative=1.709930e-02.
  itrIdx=16,	residual=6.522905e+06,	 rhs=3.736463e+08, relative=1.745743e-02.
  itrIdx=17,	residual=2.417394e+06,	 rhs=3.736463e+08, relative=6.469739e-03.
  itrIdx=18,	residual=1.790426e+06,	 rhs=3.736463e+08, relative=4.791767e-03.
  itrIdx=19,	residual=2.687368e+06,	 rhs=3.736463e+08, relative=7.192277e-03.
  itrIdx=20,	residual=4.684382e+06,	 rhs=3.736463e+08, relative=1.253694e-02.
