========================================================
Contrast_x,y,z=4  25  100
Get kvals from python.
1.04858e+06  6.5536e+06  2.62144e+07  2.62144e+07  2.62144e+07  2621.44  26214.4  262144  262144  262144  2621.44  16384  65536  65536  262144  
  Use all 1.0.
Use the following reference parameters:
262144  262144  262144  262144  262144  
GPU solver with FCT preconditioner.
  itrIdx=1,	residual=1.377663e+09,	 rhs=6.715918e+09, relative=2.051340e-01.
  itrIdx=2,	residual=8.078969e+08,	 rhs=6.715918e+09, relative=1.202958e-01.
  itrIdx=3,	residual=5.918964e+08,	 rhs=6.715918e+09, relative=8.813336e-02.
  itrIdx=4,	residual=5.993078e+08,	 rhs=6.715918e+09, relative=8.923691e-02.
  itrIdx=5,	residual=4.337778e+08,	 rhs=6.715918e+09, relative=6.458951e-02.
  itrIdx=6,	residual=4.222162e+08,	 rhs=6.715918e+09, relative=6.286799e-02.
  itrIdx=7,	residual=4.413153e+08,	 rhs=6.715918e+09, relative=6.571184e-02.
  itrIdx=8,	residual=3.990598e+08,	 rhs=6.715918e+09, relative=5.942000e-02.
  itrIdx=9,	residual=3.223327e+08,	 rhs=6.715918e+09, relative=4.799533e-02.
  itrIdx=10,	residual=2.616335e+08,	 rhs=6.715918e+09, relative=3.895722e-02.
  itrIdx=11,	residual=1.644506e+08,	 rhs=6.715918e+09, relative=2.448669e-02.
  itrIdx=12,	residual=1.056835e+08,	 rhs=6.715918e+09, relative=1.573627e-02.
  itrIdx=13,	residual=7.407565e+07,	 rhs=6.715918e+09, relative=1.102986e-02.
  itrIdx=14,	residual=5.246160e+07,	 rhs=6.715918e+09, relative=7.811532e-03.
  itrIdx=15,	residual=2.826864e+07,	 rhs=6.715918e+09, relative=4.209200e-03.
  itrIdx=16,	residual=2.521392e+07,	 rhs=6.715918e+09, relative=3.754353e-03.
  itrIdx=17,	residual=2.278641e+07,	 rhs=6.715918e+09, relative=3.392896e-03.
  itrIdx=18,	residual=2.293735e+07,	 rhs=6.715918e+09, relative=3.415371e-03.
  itrIdx=19,	residual=2.466334e+07,	 rhs=6.715918e+09, relative=3.672371e-03.
  itrIdx=20,	residual=2.647914e+07,	 rhs=6.715918e+09, relative=3.942744e-03.
  itrIdx=21,	residual=1.893530e+07,	 rhs=6.715918e+09, relative=2.819466e-03.
  itrIdx=22,	residual=1.263583e+07,	 rhs=6.715918e+09, relative=1.881475e-03.
  itrIdx=23,	residual=1.086057e+07,	 rhs=6.715918e+09, relative=1.617139e-03.
  itrIdx=24,	residual=8.424075e+06,	 rhs=6.715918e+09, relative=1.254345e-03.
  itrIdx=25,	residual=8.798456e+06,	 rhs=6.715918e+09, relative=1.310090e-03.
  itrIdx=26,	residual=8.547846e+06,	 rhs=6.715918e+09, relative=1.272774e-03.
  itrIdx=27,	residual=8.654401e+06,	 rhs=6.715918e+09, relative=1.288640e-03.
  itrIdx=28,	residual=7.665366e+06,	 rhs=6.715918e+09, relative=1.141373e-03.
  itrIdx=29,	residual=8.877466e+06,	 rhs=6.715918e+09, relative=1.321855e-03.
  itrIdx=30,	residual=6.803839e+06,	 rhs=6.715918e+09, relative=1.013091e-03.
  itrIdx=31,	residual=5.583765e+06,	 rhs=6.715918e+09, relative=8.314226e-04.
  itrIdx=32,	residual=4.218346e+06,	 rhs=6.715918e+09, relative=6.281117e-04.
  itrIdx=33,	residual=3.619844e+06,	 rhs=6.715918e+09, relative=5.389948e-04.
  itrIdx=34,	residual=3.534832e+06,	 rhs=6.715918e+09, relative=5.263364e-04.
  itrIdx=35,	residual=4.257557e+06,	 rhs=6.715918e+09, relative=6.339501e-04.
  itrIdx=36,	residual=4.136701e+06,	 rhs=6.715918e+09, relative=6.159547e-04.
  itrIdx=37,	residual=3.982036e+06,	 rhs=6.715918e+09, relative=5.929251e-04.
  itrIdx=38,	residual=3.424834e+06,	 rhs=6.715918e+09, relative=5.099578e-04.
  itrIdx=39,	residual=2.679906e+06,	 rhs=6.715918e+09, relative=3.990380e-04.
  itrIdx=40,	residual=2.357649e+06,	 rhs=6.715918e+09, relative=3.510539e-04.
  itrIdx=41,	residual=2.256588e+06,	 rhs=6.715918e+09, relative=3.360058e-04.
  itrIdx=42,	residual=2.189444e+06,	 rhs=6.715918e+09, relative=3.260082e-04.
  itrIdx=43,	residual=2.189500e+06,	 rhs=6.715918e+09, relative=3.260165e-04.
  itrIdx=44,	residual=2.026089e+06,	 rhs=6.715918e+09, relative=3.016847e-04.
  itrIdx=45,	residual=1.654160e+06,	 rhs=6.715918e+09, relative=2.463045e-04.
  itrIdx=46,	residual=1.548760e+06,	 rhs=6.715918e+09, relative=2.306104e-04.
  itrIdx=47,	residual=1.562247e+06,	 rhs=6.715918e+09, relative=2.326185e-04.
  itrIdx=48,	residual=1.288274e+06,	 rhs=6.715918e+09, relative=1.918240e-04.
  itrIdx=49,	residual=1.312515e+06,	 rhs=6.715918e+09, relative=1.954334e-04.
  itrIdx=50,	residual=1.518783e+06,	 rhs=6.715918e+09, relative=2.261468e-04.
  itrIdx=51,	residual=1.309800e+06,	 rhs=6.715918e+09, relative=1.950291e-04.
  itrIdx=52,	residual=1.384718e+06,	 rhs=6.715918e+09, relative=2.061845e-04.
  itrIdx=53,	residual=1.346417e+06,	 rhs=6.715918e+09, relative=2.004814e-04.
  itrIdx=54,	residual=1.199530e+06,	 rhs=6.715918e+09, relative=1.786100e-04.
  itrIdx=55,	residual=9.874893e+05,	 rhs=6.715918e+09, relative=1.470371e-04.
  itrIdx=56,	residual=1.054358e+06,	 rhs=6.715918e+09, relative=1.569938e-04.
  itrIdx=57,	residual=8.573931e+05,	 rhs=6.715918e+09, relative=1.276658e-04.
  itrIdx=58,	residual=6.990281e+05,	 rhs=6.715918e+09, relative=1.040853e-04.
  itrIdx=59,	residual=6.383460e+05,	 rhs=6.715918e+09, relative=9.504970e-05.
  itrIdx=60,	residual=5.396690e+05,	 rhs=6.715918e+09, relative=8.035670e-05.
  itrIdx=61,	residual=5.988941e+05,	 rhs=6.715918e+09, relative=8.917532e-05.
  itrIdx=62,	residual=7.490049e+05,	 rhs=6.715918e+09, relative=1.115268e-04.
  itrIdx=63,	residual=7.938922e+05,	 rhs=6.715918e+09, relative=1.182105e-04.
  itrIdx=64,	residual=6.372182e+05,	 rhs=6.715918e+09, relative=9.488177e-05.
  itrIdx=65,	residual=6.581461e+05,	 rhs=6.715918e+09, relative=9.799794e-05.
  itrIdx=66,	residual=5.013429e+05,	 rhs=6.715918e+09, relative=7.464995e-05.
  itrIdx=67,	residual=3.885196e+05,	 rhs=6.715918e+09, relative=5.785056e-05.
