========================================================
Contrast_x,y,z=2  5  10
Get kvals from python.
524288  1.31072e+06  2.62144e+06  2.62144e+06  2.62144e+06  2621.44  26214.4  262144  262144  262144  2621.44  6553.6  13107.2  13107.2  262144  
  Use all 1.0.
Use the following reference parameters:
262144  262144  262144  262144  262144  
GPU solver with FCT preconditioner.
  itrIdx=1,	residual=3.480341e+08,	 rhs=7.196624e+08, relative=4.836075e-01.
  itrIdx=2,	residual=2.152753e+08,	 rhs=7.196624e+08, relative=2.991337e-01.
  itrIdx=3,	residual=1.112816e+08,	 rhs=7.196624e+08, relative=1.546303e-01.
  itrIdx=4,	residual=3.176464e+07,	 rhs=7.196624e+08, relative=4.413825e-02.
  itrIdx=5,	residual=2.482640e+07,	 rhs=7.196624e+08, relative=3.449729e-02.
  itrIdx=6,	residual=9.139019e+06,	 rhs=7.196624e+08, relative=1.269904e-02.
  itrIdx=7,	residual=5.575098e+06,	 rhs=7.196624e+08, relative=7.746824e-03.
  itrIdx=8,	residual=4.681173e+06,	 rhs=7.196624e+08, relative=6.504679e-03.
  itrIdx=9,	residual=4.049937e+06,	 rhs=7.196624e+08, relative=5.627551e-03.
  itrIdx=10,	residual=2.279739e+06,	 rhs=7.196624e+08, relative=3.167789e-03.
  itrIdx=11,	residual=1.457398e+06,	 rhs=7.196624e+08, relative=2.025113e-03.
  itrIdx=12,	residual=1.383410e+06,	 rhs=7.196624e+08, relative=1.922304e-03.
  itrIdx=13,	residual=1.033895e+06,	 rhs=7.196624e+08, relative=1.436639e-03.
  itrIdx=14,	residual=7.404792e+05,	 rhs=7.196624e+08, relative=1.028926e-03.
  itrIdx=15,	residual=6.463578e+05,	 rhs=7.196624e+08, relative=8.981402e-04.
  itrIdx=16,	residual=5.721757e+05,	 rhs=7.196624e+08, relative=7.950613e-04.
  itrIdx=17,	residual=4.662413e+05,	 rhs=7.196624e+08, relative=6.478612e-04.
  itrIdx=18,	residual=3.623942e+05,	 rhs=7.196624e+08, relative=5.035615e-04.
  itrIdx=19,	residual=2.838828e+05,	 rhs=7.196624e+08, relative=3.944666e-04.
  itrIdx=20,	residual=2.913501e+05,	 rhs=7.196624e+08, relative=4.048427e-04.
  itrIdx=21,	residual=1.863924e+05,	 rhs=7.196624e+08, relative=2.589998e-04.
  itrIdx=22,	residual=1.895787e+05,	 rhs=7.196624e+08, relative=2.634273e-04.
  itrIdx=23,	residual=1.681939e+05,	 rhs=7.196624e+08, relative=2.337122e-04.
  itrIdx=24,	residual=1.272455e+05,	 rhs=7.196624e+08, relative=1.768128e-04.
  itrIdx=25,	residual=9.527447e+04,	 rhs=7.196624e+08, relative=1.323877e-04.
  itrIdx=26,	residual=9.150974e+04,	 rhs=7.196624e+08, relative=1.271565e-04.
  itrIdx=27,	residual=8.456887e+04,	 rhs=7.196624e+08, relative=1.175119e-04.
  itrIdx=28,	residual=7.430456e+04,	 rhs=7.196624e+08, relative=1.032492e-04.
  itrIdx=29,	residual=6.024341e+04,	 rhs=7.196624e+08, relative=8.371066e-05.
  itrIdx=30,	residual=5.653346e+04,	 rhs=7.196624e+08, relative=7.855553e-05.
